หัตถการหลักที่กล่าวถึงในสไลด์ 3 ชนิด [สไลด์ หน้า 6]		สรุป2026-09-16-endoscopic-neurosurgery
ลดการบาดเจ็บเนื้อเยื่อ	Less manipulation of muscles and soft tissues	สรุป2026-09-16-endoscopic-neurosurgery
ลดการติดเชื้อ	Lower risk of postoperative infection	สรุป2026-09-16-endoscopic-neurosurgery
ลดการเสียเลือด	Reduced blood loss	สรุป2026-09-16-endoscopic-neurosurgery
ลดปวดหลังผ่าตัด	Less post operative pain	สรุป2026-09-16-endoscopic-neurosurgery
ลดการใช้ยาแก้ปวด	Reduced need for postoperative pain medication	สรุป2026-09-16-endoscopic-neurosurgery
นอนโรงพยาบาลสั้นลง	Reduced hospital stay	สรุป2026-09-16-endoscopic-neurosurgery
แผลสวยงาม	Smaller more cosmetically desirable incision	สรุป2026-09-16-endoscopic-neurosurgery
ฟื้นตัวเร็ว	Faster recover and return to normal activities	สรุป2026-09-16-endoscopic-neurosurgery
แผลเป็นน้อย	Less scarring	สรุป2026-09-16-endoscopic-neurosurgery
ข้อจำกัด/ข้อเสียเมื่อเทียบกับ open surgery [สไลด์ หน้า 4]		สรุป2026-09-16-endoscopic-neurosurgery
นิยาม [สไลด์ หน้า 6]	เป็นการทำรูเชื่อมต่อระหว่าง **The 3rd ventricle** และ **Interpeduncular cistern** ผ่าน **Tuber cinereum** โดยใช้ rigid หรือ flexible endoscope ในการหาตำแหน่งผ่าตัด	สรุป2026-09-16-endoscopic-neurosurgery
คำอธิบายฉบับเต็ม (Spontaneous Third Ventriculostomy) [สไลด์ หน้า 7]		สรุป2026-09-16-endoscopic-neurosurgery
Indication [สไลด์ หน้า 10]		สรุป2026-09-16-endoscopic-neurosurgery
ตำแหน่งลง skin incision [สไลด์ หน้า 11]	โดยทั่วไปทำที่ **Frontal** หรือ **Occipital** แต่บางกรณีอาจต้องทำที่ **Parietal**	สรุป2026-09-16-endoscopic-neurosurgery
ขั้นตอนและวิธีการ (ETV) [สไลด์ หน้า 13-15]		สรุป2026-09-16-endoscopic-neurosurgery
Pituitary Adenoma [สไลด์ หน้า 21]	ต่อมไร้ท่อที่ฐานสมอง; ตำแหน่ง = **Posterior fossa**; ขนาด = โครงสร้างรูปไข่ขนาดเล็ก **1 ซม.** โดยเส้นผ่านศูนย์กลาง	สรุป2026-09-16-endoscopic-neurosurgery
Pituitary apoplexy [สไลด์ หน้า 22]	ภาวะตกเลือดภายในเนื้องอก อาการเปลี่ยนแปลงรวดเร็ว — ปวดศีรษะ อาเจียน ตามัว ความรู้สติเลวลง	สรุป2026-09-16-endoscopic-neurosurgery
Sublabial Transseptal Approach (วิธีเปรียบเทียบ) [สไลด์ หน้า 24]		สรุป2026-09-16-endoscopic-neurosurgery
Endoscopic Transnasal Approach [สไลด์ หน้า 25]		สรุป2026-09-16-endoscopic-neurosurgery
ประโยชน์ของ Endoscopic transnasal [สไลด์ หน้า 26]	Decreased operative time, decreased length of hospital stay, decreased patient discomfort, no external incision (มีเพียง transnasal incision)	สรุป2026-09-16-endoscopic-neurosurgery
ตารางเปรียบเทียบ Endoscopic transnasal vs Sublabial transseptal (Mayo Clinic, 1999) [สไลด์ หน้า 28-29]		สรุป2026-09-16-endoscopic-neurosurgery
แผลภายนอก	No external incision	สรุป2026-09-16-endoscopic-neurosurgery
Nasal septum	Intact	สรุป2026-09-16-endoscopic-neurosurgery
Nasal packing หลังผ่าตัด	No postop nasal packing	สรุป2026-09-16-endoscopic-neurosurgery
ผู้ทำหัตถการใช้	Endoscope	สรุป2026-09-16-endoscopic-neurosurgery
