ชื่อเรื่อง	"บทบาท Nurse Coordinator กับการปลูกถ่ายอวัยวะ" [สไลด์]	สรุป2026-09-03-nurse-coordinator-summary
วิทยากร	พว.พีรา ปานพรม ตำแหน่งพยาบาลประสานงาน โรงพยาบาลศิริราช [สไลด์]	สรุป2026-09-03-nurse-coordinator-summary
นิยาม	"การนำเอาอวัยวะที่ไม่สามารถทำงานได้อย่างปกติออกไปแล้วนำเอาอวัยวะปกติจากบุคคลอื่นเข้ามาแทน" [สไลด์]	สรุป2026-09-03-nurse-coordinator-summary
ไต, ตับ, ไขกระดูก, หัวใจ, ปอด, หัวใจและปอด, ลำไส้, ตับอ่อน	รวม 8 รายการตามที่ระบุในสไลด์ (นับรวมไขกระดูกและหัวใจ-ปอดร่วม)	สรุป2026-09-03-nurse-coordinator-summary
หน่วยงานกลาง	**Organ Donation Center, The Thai Red Cross Society** (ศูนย์รับบริจาคอวัยวะ สภากาชาดไทย) [สไลด์]	สรุป2026-09-03-nurse-coordinator-summary
หน้าที่หลัก 2 อย่าง	**Waiting list registration** (ขึ้นทะเบียนรายชื่อผู้รอรับอวัยวะ) และ **Organ allocation** (จัดสรรอวัยวะ) [สไลด์]	สรุป2026-09-03-nurse-coordinator-summary
เบอร์โทรติดต่อ	**1666** [สไลด์]	สรุป2026-09-03-nurse-coordinator-summary
กลุ่มเป้าหมายที่ระบุคู่กัน	"ผู้บริจาคสมองตาย" [สไลด์]	สรุป2026-09-03-nurse-coordinator-summary
เบอร์โทรศูนย์รับบริจาคอวัยวะ สภากาชาดไทย	**1666**	สรุป2026-09-03-nurse-coordinator-summary
หน้าที่ของศูนย์	Waiting list registration, Organ allocation	สรุป2026-09-03-nurse-coordinator-summary
**2 ครั้ง**	จำนวนครั้งที่ต้องประเมินสมองตาย	สรุป2026-09-03-nurse-coordinator-summary
**6 ชั่วโมง**	ระยะห่างระหว่างการประเมินสมองตาย 2 ครั้ง	สรุป2026-09-03-nurse-coordinator-summary
ลำดับสำคัญ	ขอบริจาค → **ลงนามบริจาคอวัยวะ (ญาติ)** และ **ประเมินสมองตาย 2 ครั้งห่างกัน 6 ชม. (ทีมดูแลผู้บริจาค)** ทั้งสองเงื่อนไขต้องผ่านก่อนจึงส่งเข้า OR ได้ — ข้อสอบท้ายบทข้อ 3 ทดสอบเรื่องนี้โดยตรง [สไลด์]	สรุป2026-09-03-nurse-coordinator-summary
ประวัติการรักษา	อดีต DM, HT, CA ฯลฯ / ปัจจุบัน Dx, Tx, OR, CT ฯลฯ [สไลด์]	สรุป2026-09-03-nurse-coordinator-summary
ยา	ยารักษาโรคเดิม, ยารักษาปัจจุบัน [สไลด์]	สรุป2026-09-03-nurse-coordinator-summary
สารน้ำ	IV fluid, Oral Fluid [สไลด์]	สรุป2026-09-03-nurse-coordinator-summary
Hemodynamics	V/S, O2 sat, CVP, Urine Out ทุก 1 ชม., I/O ทุก 8 หรือ 24 ชม. [สไลด์]	สรุป2026-09-03-nurse-coordinator-summary
หมู่เลือด	A, B, O, AB และ Rh-, Rh+ [สไลด์]	สรุป2026-09-03-nurse-coordinator-summary
ส่วนประกอบของเลือด	FFP, PRC ฯลฯ [สไลด์]	สรุป2026-09-03-nurse-coordinator-summary
ผลการตรวจทางห้องปฏิบัติการ	CBC, Electrolyte, LFT, BUN, Cr, BS, HbA1C, UA, ABG, MUC, H/C, Sputum C/S ฯลฯ [สไลด์]	สรุป2026-09-03-nurse-coordinator-summary
ATB	ชนิด, ขนาดที่ได้รับต่อวัน, เริ่ม-หยุด [สไลด์]	สรุป2026-09-03-nurse-coordinator-summary
Infectious marker (รพ.donor/RC)	HIV, Hep B (HBsAg, Anti-HBc, Anti-HBs), Hep C, VDRL, CMV ฯลฯ [สไลด์]	สรุป2026-09-03-nurse-coordinator-summary
การตรวจทางรังสี	Chest X-ray, US, CT, Fast ฯลฯ [สไลด์]	สรุป2026-09-03-nurse-coordinator-summary
การตรวจอื่นๆ	ECG, Echo, Apnea test + ABG 2 ครั้ง (ก่อนและหลังหยุดเครื่องช่วยหายใจ) [สไลด์]	สรุป2026-09-03-nurse-coordinator-summary
Urine output	ติดตามทุก **1 ชั่วโมง**	สรุป2026-09-03-nurse-coordinator-summary
I/O	บันทึกทุก **8 หรือ 24 ชั่วโมง**	สรุป2026-09-03-nurse-coordinator-summary
Apnea test + ABG	ทำ **2 ครั้ง** (ก่อน และหลังหยุดเครื่องช่วยหายใจ)	สรุป2026-09-03-nurse-coordinator-summary
หมู่เลือด	A, B, O, AB + Rh- / Rh+	สรุป2026-09-03-nurse-coordinator-summary
จุดเริ่มต้น	**หอผู้ป่วยแจ้งมีผู้บริจาค (Potential Donor)** [สไลด์]	สรุป2026-09-03-nurse-coordinator-summary
ศูนย์กลางของผัง	**พยาบาลประสานงาน** ทำหน้าที่ **"รวบรวมข้อมูลและแจ้งทีมที่เกี่ยวข้อง"** [สไลด์]	สรุป2026-09-03-nurse-coordinator-summary
ฝ่ายที่พยาบาลประสานงานต้องเชื่อมโยงด้วย ได้แก่	หอผู้ป่วย, ผู้ป่วยและญาติ, แพทย์ที่เกี่ยวข้อง, พยาบาลห้องผ่าตัด, หน่วยรีเฟอร์/ยานยนต์ (นำส่งทีม/อวัยวะ), หน่วยอื่นๆ ที่เกี่ยวข้อง, ศูนย์รับบริจาคอวัยวะ สภากาชาดไทย [สไลด์]	สรุป2026-09-03-nurse-coordinator-summary
บทบาทของศูนย์รับบริจาคอวัยวะฯ ในผังนี้	**จัดสรรอวัยวะ** และ **จัดเก็บอวัยวะ** [สไลด์]	สรุป2026-09-03-nurse-coordinator-summary
หัวข้อสไลด์	"การจัดสรรอวัยวะ" (ปรากฏซ้ำ 2 ครั้ง) [สไลด์]	สรุป2026-09-03-nurse-coordinator-summary
ป้ายอวัยวะที่ปรากฏในภาพ	**ไตซ้าย, ไตขวา, ตับ, หัวใจ** [สไลด์]	สรุป2026-09-03-nurse-coordinator-summary
ลำดับที่มักออกสอบ	**ต้องได้ความยินยอมจากญาติก่อน** จึงตรวจแล็บเพิ่มเติมและแจ้งศูนย์รับบริจาคอวัยวะฯ [สไลด์]	สรุป2026-09-03-nurse-coordinator-summary
