วงจรปิดท้าย [สไลด์]	สร้าง Awareness → เรียนรู้ว่าเกิดเหตุอย่างไร (ได้สาเหตุ) / เรียนรู้ว่าเกิดขึ้นในขั้นตอนใด → ปรับแผนควบคุมความเสียหาย → เรียนรู้ว่าจัดการหลังเกิดเหตุได้ดีหรือไม่ → วนกลับไปที่เหตุไม่พึงประสงค์	สรุป2026-08-28-risk-management-combined
รูปแบบการจัดการความเสี่ยง	2 แบบ: เชิงรุก, เชิงรับ	สรุป2026-08-28-risk-management-combined
เครื่องมือเชิงรุก	Risk Assessment/Risk Register, FMEA	สรุป2026-08-28-risk-management-combined
เครื่องมือเชิงรับ	RCA	สรุป2026-08-28-risk-management-combined
Risk Assessment/Risk Register กับ FMEA ต่างก็เป็นเชิงรุก แต่วิธีเริ่มต้นต่างกัน	อันแรกเริ่มจาก "ค้นหาปัจจัยอันตราย" อันหลังเริ่มจาก "คลี่กระบวนการทำงานทีละขั้นตอน"	สรุป2026-08-28-risk-management-combined
หัวข้อเปิด	**"เข้าใจเรื่องความเสี่ยง อย่างไร"** [สไลด์]	สรุป2026-08-28-risk-management-combined
หลักคิด	"เราไม่ได้เริ่มจาก 0... เชื่อว่าทุกคนมีความรู้และประสบการณ์ มาทบทวนกัน..." [สไลด์]	สรุป2026-08-28-risk-management-combined
**[classroom]** นิยามที่ได้จากการถาม-ตอบสดในคาบ (คีย์เวิร์ดที่อาจารย์ย้ำทีละคำ)	"ความเสี่ยงคือ**อันตราย**ที่อาจเกิดกับผู้ป่วย" — เน้นว่าคำว่า "อันตราย" เป็นคีย์เวิร์ดสำคัญ 1 คำ	สรุป2026-08-28-risk-management-combined
**[classroom]** ตัวอย่าง "สิ่ง" ที่นักศึกษาช่วยกันยกในคาบว่าอาจนำไปสู่อันตราย	เครื่องมือในห้องผ่าตัดไม่พร้อมใช้งาน, บุคลากรขาดความรู้, ไม่ปฏิบัติตามมาตรฐานวิชาชีพ, การสื่อสารและแนวทางปฏิบัติไม่ชัดเจน	สรุป2026-08-28-risk-management-combined
**[classroom]** คีย์เวิร์ดที่อาจารย์ย้ำ	"ความเสี่ยงคือเหตุการณ์ที่เรา**คาดการณ์ได้ล่วงหน้า**" → สรุปเป็นหลักว่า **"การบริหารความเสี่ยงคือการทำนาย/การคาดการณ์ไปข้างหน้า"**	สรุป2026-08-28-risk-management-combined
**[classroom]** หลักที่อาจารย์ย้ำซ้ำหลายรอบตลอดคาบ	**"ทำสิ่งที่ถูกต้องให้ถูกต้องเสมอ"** — ใช้ได้ทั้งกับภาวะแทรกซ้อนและเหตุไม่พึงประสงค์	สรุป2026-08-28-risk-management-combined
คำศัพท์อังกฤษกำกับในผัง	Threat, Hazardous Event, Consequence, Control Measures, Recovery Measures, Loss of Control, Leading KRI, Lagging KRI, Potential Measures, Potential Outcome [สไลด์]	สรุป2026-08-28-risk-management-combined
**[classroom]** อาจารย์กำกับสีของผัง Bowtie ด้วยปากเปล่าซ้ำหลายรอบ	**สีน้ำเงิน = ฝั่งก่อนเกิดเหตุ (การบริหารความเสี่ยงเชิงรุก)**, **สีส้ม = ฝั่งหลังเกิดเหตุ (แผนควบคุมความเสียหาย/เชิงรับ)** — "ถ้าไหลหลุดการควบคุม (ออกแบบไว้แต่คนไม่ทำ) จะกลายเป็นเหตุไม่พึงประสงค์" เข้าสู่ฝั่งสีส้มทันที	สรุป2026-08-28-risk-management-combined
**[classroom]** ตัวอย่างเดินเรื่องจริงสำหรับข้อ 11-12 (ฝั่งขวา	Potential Outcome / Lagging KRI) โดยใช้กรณี "ผ่าตัดผิดคน": คำตอบของนักศึกษาต่อคำถาม "อะไรเป็นตัวบอกว่ากำลังจะเกิดความสูญเสีย/ฟ้องร้อง" ได้แก่ ความรุนแรงของเหตุการณ์, การแสดงสีหน้า/คำพูดไม่พอใจของผู้ป่วย, เงินที่ต้องจ่ายเพิ่ม ส่วนคำถาม "อะไรบอกว่าเรากู้กลับคืนได้ (ไม่ถูกฟ้อง/ออกสื่อ)" คำตอบคือ มีการเจรจาไกล่เกลี่ย, มีการรายงานอุบัติการณ์ขึ้นไป, มีการจัดประชุมทบทวน, มีการคุยกับผู้เสียหายและให้ข้อมูล — อาจารย์สรุปว่า "ถ้าทำอย่างนี้ได้ ไม่ส่งผลกระทบ มันจะถูกบล็อกไปหมด"	สรุป2026-08-28-risk-management-combined
Threat (สิ่งคุกคาม)	ฝั่งซ้ายสุด	สรุป2026-08-28-risk-management-combined
Hazardous Event (เหตุการณ์)	จุดศูนย์กลาง (ปมโบว์)	สรุป2026-08-28-risk-management-combined
Consequence (ความสูญเสีย)	ฝั่งขวาสุด	สรุป2026-08-28-risk-management-combined
Control Measures	ฝั่งซ้าย (ก่อนเหตุการณ์) — **[classroom] สีน้ำเงิน**	สรุป2026-08-28-risk-management-combined
Recovery Measures	ฝั่งขวา (หลังเหตุการณ์) — **[classroom] สีส้ม**	สรุป2026-08-28-risk-management-combined
Leading KRI / Lagging KRI	เตือนก่อนเหตุ / เตือนหลังเหตุ ตามลำดับ	สรุป2026-08-28-risk-management-combined
ใบงานที่เกี่ยวข้อง	ใบงานที่ 4	สรุป2026-08-28-risk-management-combined
โครง KRI ของกระบวนการทำงาน [สไลด์]	วัตถุประสงค์ของการดำเนินการ → ตัวชี้วัดที่บอกผลสำเร็จ (มีเป้า) → กระบวนการทำงาน (มาตรฐาน คู่มือ แนวทางปฏิบัติ) + กำหนดจุดและกิจกรรมควบคุม (**Internal Control**) → Start → Objective, KPI, Target	สรุป2026-08-28-risk-management-combined
**ปัจจัยภายนอก**	การเปลี่ยนแปลง (Change) เป็นสิ่งคุกคามจากภายนอก [สไลด์] — **[classroom]** ตัวอย่างจริงที่อาจารย์ยกในคาบ: สังคมเปลี่ยนไป ความเห็นอกเห็นใจต่อแพทย์/พยาบาลลดลง คุณธรรม/ศีลธรรมของสังคมโดยรวมลดลง ทำให้ผู้ป่วย/ญาติมีแนวโน้มฟ้องร้องมากขึ้นกว่าเดิม เป็นตัวอย่างของ "threat จากปัจจัยภายนอก" ที่ต้องตระหนัก	สรุป2026-08-28-risk-management-combined
กรอบตรวจสอบปัจจัยภายใน 4 มิติ (**People, Process, Technology, Environment**)	"การตรวจสอบ ค้นหา ปัจจัยที่เป็นอันตราย คุกคาม รบกวนการทำงาน ระบบงาน หรือพื้นที่ปฏิบัติงาน" [สไลด์]	สรุป2026-08-28-risk-management-combined
People — คุณสมบัติของบุคลากร 7 ข้อ [สไลด์]	1.คุณสมบัติ 2.คุณวุฒิ 3.รู้พันธกิจ 4.รู้หน้าที่ 5.รู้กระบวนการ 6.รู้วิธีทำงาน 7.รู้นโยบาย	สรุป2026-08-28-risk-management-combined
ปัจจัยภายใน (บุคลากร/งบ/สิ่งแวดล้อม/เครื่องมือ/ข้อมูล)	5 ข้อ	สรุป2026-08-28-risk-management-combined
คุณสมบัติบุคลากร (People)	7 ข้อ	สรุป2026-08-28-risk-management-combined
รายการปัจจัยเสี่ยงเชิงระบบทั้งหมด	20 ข้อ (รวม 7 ข้อ People)	สรุป2026-08-28-risk-management-combined
กรอบตรวจสอบ 4 มิติ	People, Process, Technology, Environment	สรุป2026-08-28-risk-management-combined
แยกให้ออกระหว่าง "ปัจจัยภายนอก" (เช่น Change) กับ "ปัจจัยภายใน" (5 ด้าน	บุคลากร งบประมาณ สภาพแวดล้อม เครื่องมือ ข้อมูล) — เวลาโจทย์ถามหาปัจจัยเสี่ยงต้องระบุว่าเป็นภายในหรือภายนอก	สรุป2026-08-28-risk-management-combined
"ทำได้อย่างไร — มี 2 แบบ	เชิงรุก & เชิงรับ" [สไลด์]	สรุป2026-08-28-risk-management-combined
ตัวเลข/ค่าที่ต้องจำ: 2 รูปแบบ	เชิงรุก / เชิงรับ	สรุป2026-08-28-risk-management-combined
นิยาม	"การตรวจสอบ ค้นหา ปัจจัยที่เป็นอันตราย คุกคาม รบกวนการทำงาน ระบบงาน หรือพื้นที่ปฏิบัติงาน ►► การประเมินความเสี่ยง (Risk Assessment) และหาทางจัดการ ►► การขึ้นทะเบียนเพื่อติดตาม" [สไลด์]	สรุป2026-08-28-risk-management-combined
แหล่งอ้างอิง	https://www.hse.gov.uk/managing/risk-profiling.htm [สไลด์]	สรุป2026-08-28-risk-management-combined
Key actions (Managers)	4 กลุ่ม: ระบุความเสี่ยง / ระบุผู้ได้รับผลกระทบ / ระบุมาตรการควบคุม / รายงานบันทึกตรวจสอบ	สรุป2026-08-28-risk-management-combined
เกณฑ์บังคับทำ Risk assessment	จำนวนเจ้าหน้าที่ ≥ 5 คน	สรุป2026-08-28-risk-management-combined
กลุ่มเสี่ยงเพิ่มขึ้น	อายุน้อย, อายุงานน้อย, ประสบการณ์น้อย, ตั้งครรภ์, พิการ, แรงงานข้ามชาติ, ผู้สูงอายุ	สรุป2026-08-28-risk-management-combined
**[classroom]** 9 มาตรฐานสำคัญจำเป็น (HA)	ผิดคน/ตำแหน่ง/ข้าง/หัตถการ, ติดเชื้อสำคัญ, บุคลากรติดเชื้อ, ของมีคม, ให้เลือดผิด, Medication error, ระบุตัวผู้ป่วยผิด, รายงานผลตรวจ/คัดกรอง (รายการไม่ครบ 9 ข้อจากเสียง)	สรุป2026-08-28-risk-management-combined
ข้อผิดพลาดที่พบบ่อย	ทำเอกสาร (paperwork) เยอะเกินจำเป็น — สไลด์เตือนว่าควรมี "เท่าที่จำเป็นเท่านั้น" ส่วนการประเมินความเสี่ยงต้องทำจริงจัง	สรุป2026-08-28-risk-management-combined
การเตรียมความพร้อมก่อนผ่าตัด ครอบคลุม [สไลด์]	พื้นที่ห้องผ่าตัด, เครื่องมือ อุปกรณ์ น้ำยา, กระแสไฟฟ้า น้ำไหล ไฟสว่าง, ยา สารน้ำ เลือด, อวัยวะ/อุปกรณ์ที่ใช้กับผู้ป่วย	สรุป2026-08-28-risk-management-combined
เส้นทางผู้ป่วย	**OPD → WARD → WR (ห้องเตรียมผ่าตัด) → OR → RR (ห้องพักฟื้น) → ICU/ward/D-C** [สไลด์]	สรุป2026-08-28-risk-management-combined
งานที่ WARD ก่อนส่งผ่าตัด — การเตรียมความพร้อมให้ถูก 4 ด้าน [สไลด์]	คน, หัตถการ, ตำแหน่ง, วัน-เวลา	สรุป2026-08-28-risk-management-combined
งานฝั่งการดูแลผู้ป่วยตลอดเส้นทาง (คู่ขนานกับ WR-OR-RR) [สไลด์]	การประเมิน, การวินิจฉัย, การให้ข้อมูล, การยินยอม, การ Set ผ่าตัด	สรุป2026-08-28-risk-management-combined
งานที่ WR	การเตรียมความพร้อม (คน/หัตถการ/ตำแหน่ง/วัน-เวลา), การให้ข้อมูล, การประเมิน	สรุป2026-08-28-risk-management-combined
งานที่ OR	การช่วยผ่าตัด, การให้ข้อมูล, การประเมิน, **การเฝ้าระวัง**, การสื่อสารกับทีม	สรุป2026-08-28-risk-management-combined
งานที่ RR	การให้ข้อมูล, การประเมิน, การเฝ้าระวัง, การสื่อสารกับทีม, **การช่วยเหลือที่ทันท่วงที**	สรุป2026-08-28-risk-management-combined
เส้นทางผู้ป่วย	OPD → WARD → WR → OR → RR → ICU/ward/D-C	สรุป2026-08-28-risk-management-combined
เตรียมความพร้อมที่ Ward	คน, หัตถการ, ตำแหน่ง, วัน-เวลา (4 ด้าน)	สรุป2026-08-28-risk-management-combined
งานร่วมทุกจุด	การประเมิน, การเฝ้าระวัง, การสื่อสารกับทีม	สรุป2026-08-28-risk-management-combined
**[classroom]** เครื่องมือหลักในการประเมิน/เฝ้าระวัง/สื่อสาร	Surgical Safety Checklist, MAR (ใบบันทึกการให้ยา)	สรุป2026-08-28-risk-management-combined
**[classroom]** ประเด็นที่อาจารย์ย้ำ	เครื่องมือ/ฟอร์มความปลอดภัยมีให้ใช้อยู่แล้ว แต่ความผิดพลาดมักเกิดเพราะ "ไม่เข้าใจวัตถุประสงค์จึงข้ามขั้นตอน" ไม่ใช่เพราะไม่มีเครื่องมือ	สรุป2026-08-28-risk-management-combined
โจทย์	"จากกระบวนการสำคัญในห้องผ่าตัด ขอให้ระบุข้อผิดพลาด หรือเหตุการณ์ไม่พึงประสงค์ที่เราไม่ต้องการให้เกิดขึ้นในห้องผ่าตัด ขอให้เลือกมา 1 เหตุการณ์" [สไลด์]	สรุป2026-08-28-risk-management-combined
3 คำถามนี้คือโครง Bowtie แบบย่อ	ข้อ 1 = สาเหตุ/สิ่งคุกคาม (ฝั่งซ้าย), ข้อ 2 = มาตรการป้องกันลดโอกาส (ฝั่งซ้าย), ข้อ 3 = มาตรการกู้คืน/บรรเทา (ฝั่งขวา) — ถ้าเข้าใจ Bowtie จะตอบกิจกรรมนี้ได้เป็นระบบ	สรุป2026-08-28-risk-management-combined
หัวข้อกราฟ	"Types of Sentinel Events (คัดเฉพาะที่เกี่ยวข้องกับ OR)" แกน Y = จำนวนนับ (0–1400) [สไลด์]	สรุป2026-08-28-risk-management-combined
