 สมการความดันโลหิต	 BP = Cardiac  output times SVR   Cardiac  output = Heart  rate times Stroke  volume  ดังนั้น  BP = HR times SV times SVR	สรุป2026-09-11-heart-aortic-disease-note
 Preload	ปริมาณเลือดที่เติมหัวใจ (ดูจาก CVP, urine, pulse pressure variation).	สรุป2026-09-11-heart-aortic-disease-note
 Contractility	แรงบีบของหัวใจ.	สรุป2026-09-11-heart-aortic-disease-note
 Afterload	แรงต้านจากหลอดเลือด (ความดันสูง, ลิ้น Aortic ตีบ).	สรุป2026-09-11-heart-aortic-disease-note
 Heart rate	อัตราการเต้นของหัวใจ (เร็วเกิน/ช้าเกิน ทำให้ output ลด).	สรุป2026-09-11-heart-aortic-disease-note
 เส้นเลือดหัวใจ (Coronary Arteries)	มี 3 เส้นหลัก (RCA, LAD, LCx) เลือดจะไปเลี้ยงกล้ามเนื้อหัวใจเป็นหลักในช่วง "คลายตัว" (diastole). หัวใจเต้นเร็วเกินไป ทำให้เลือดไปเลี้ยงหัวใจน้อยลง.	สรุป2026-09-11-heart-aortic-disease-note
 พยาธิสรีรวิทยา	ไขมันสะสมในผนังหลอดเลือด -> ตีบช้า (Stable angina) หรือคราบไขมันแตกและมีลิ่มเลือด -> กล้ามเนื้อหัวใจตาย (Acute Coronary Syndrome - ACS).	สรุป2026-09-11-heart-aortic-disease-note
 ปัจจัยเสี่ยง	อายุ, เพศชาย, สูบบุหรี่, ความดันสูง, เบาหวาน, ไขมันสูง, ไตเสื่อม, ประวัติครอบครัว.	สรุป2026-09-11-heart-aortic-disease-note
 Stable angina	เจ็บแน่นหน้าอกเวลาออกแรง พักแล้วหายใน 5-10 นาที.	สรุป2026-09-11-heart-aortic-disease-note
 ACS (NSTEMI/Unstable angina/STEMI)	เจ็บแน่นหน้าอกขณะพัก นานกว่า 20 นาที อาจมี Troponin สูง หรือ ST elevation.	สรุป2026-09-11-heart-aortic-disease-note
 Red flags ในห้องผ่าตัด	ผู้ป่วยบอกไม่เจ็บ แต่มี ST change, ความดันตก, หัวใจเต้นผิดจังหวะ.	สรุป2026-09-11-heart-aortic-disease-note
 หลัง CABG	แผลกระดูกอกติดใน 6-8 สัปดาห์. แผลขาจากการตัดเส้นเลือด. ต้องกินยาต้านเกล็ดเลือดต่อเนื่อง.	สรุป2026-09-11-heart-aortic-disease-note
 ตีบ (Stenosis)	ประตูเปิดไม่สุด ทำให้หัวใจทำงานหนักขึ้น (Pressure overload).	สรุป2026-09-11-heart-aortic-disease-note
 รั่ว (Regurgitation)	ประตูปิดไม่สนิท ทำให้มีเลือดไหลย้อนกลับ (Volume overload).	สรุป2026-09-11-heart-aortic-disease-note
 Rheumatic heart disease	พบในคนไทยอายุน้อย-กลาง (ลิ้นไมทรัลตีบ/รั่ว, มักมี AF). เกิดจากการติดเชื้อ Streptococcus group A -> ภูมิต้านทานทำลายลิ้นหัวใจ.	สรุป2026-09-11-heart-aortic-disease-note
 Degenerative	ในผู้สูงอายุ (ลิ้นเอออร์ติกตีบ, ลิ้นไมทรัลหย่อน).	สรุป2026-09-11-heart-aortic-disease-note
 Infective endocarditis	ติดเชื้อที่ลิ้นหัวใจ (ฟันผุ, IV drug use, อาหารไม่สุก).	สรุป2026-09-11-heart-aortic-disease-note
