[classroom] สถิติที่อาจารย์ยกจากรายงานสภากาชาดไทย (อัปเดตล่าสุดปี 2567 ณ ตอนบรรยาย ปี 2568 ยังไม่ออกรายงานเต็มปี แต่มีตัวเลขถึง 30 เม.ย. 2568)		สรุป2026-09-03-organ-transplantation-combined
1901	Alexis Carrel & Charles ทำ blood vessel anastomoses และ heterotopic heart transplantation ในสัตว์ [สไลด์]	สรุป2026-09-03-organ-transplantation-combined
1930s	ทำ KT (Kidney Transplant) ในฝรั่งเศสโดยใช้ donor สัตว์ แต่ผู้รับเสียชีวิตภายใน 2 สัปดาห์ [สไลด์]	สรุป2026-09-03-organ-transplantation-combined
1933	KT ระหว่างมนุษย์สู่มนุษย์ครั้งแรก แต่ donor และ recipient มี blood type ไม่ตรงกัน [สไลด์]	สรุป2026-09-03-organ-transplantation-combined
1940s-1950s	ความก้าวหน้าด้าน open heart surgery และองค์ความรู้พื้นฐานสำหรับ clinical transplantation [สไลด์]	สรุป2026-09-03-organ-transplantation-combined
1954	KT สำเร็จครั้งแรกในฝาแฝด โดยศัลยแพทย์ Joseph Murray (Boston) โดยไม่ใช้ยากดภูมิคุ้มกัน [สไลด์]	สรุป2026-09-03-organ-transplantation-combined
1960	รางวัลโนเบลด้าน immunologic tolerance ของ tissue transplantation ในสัตว์ โดย Peter Medawar (นักภูมิคุ้มกันวิทยาชาวอังกฤษ) และ Sir Frank Macfarlane Burnet (พยาธิแพทย์ชาวออสเตรเลีย) [สไลด์]	สรุป2026-09-03-organ-transplantation-combined
1960s	Clinical transplantation เป็นไปได้จริง จาก cardiopulmonary bypass และ immunosuppressive drug therapy [สไลด์]	สรุป2026-09-03-organ-transplantation-combined
1967	หัวใจปลูกถ่ายครั้งแรกโดย Christian Barnard (แอฟริกาใต้) ผู้รับมีชีวิตอยู่ 18 วัน เสียชีวิตจากปอดอักเสบ; ตับปลูกถ่ายครั้งแรกโดย Thomas Starzl (ศัลยแพทย์อเมริกัน) [สไลด์]	สรุป2026-09-03-organ-transplantation-combined
1998	ปลูกถ่ายมือข้างเดียวครั้งแรกในฝรั่งเศส โดย Jean-Michel Dubernard (ถูกตัดออกในปี 2001) [สไลด์]	สรุป2026-09-03-organ-transplantation-combined
