[หน้า 2] นิยามคู่ขนาน	เศรษฐศาสตร์ = ศาสตร์ว่าด้วยผลของการจัดการภาวะขาดแคลนทรัพยากร / สุขภาพ (WHO) = สภาวะสมบูรณ์ทั้งกาย จิต สังคม ไม่ใช่แค่ปราศจากโรค [สไลด์]	สรุป2026-08-21-unit1-economics-financing-deep
[หน้า 3] เศรษฐศาสตร์กับสุขภาพ 3 มุม	(1) ประยุกต์หลักเศรษฐศาสตร์กำหนดนโยบายวางแผน/จัดบริการสาธารณสุข (2) ใช้ทรัพยากรจำกัดให้เกิดประโยชน์สูงสุด (3) ใช้หลักเศรษฐศาสตร์ตัดสินใจเลือกและจัดสรรทรัพยากร/งบประมาณ เพื่อผลต่อสุขภาพ**มากที่สุดและเป็นธรรม** [สไลด์] — จุดสำคัญ: คำว่า "เป็นธรรม" ถูกผูกไว้กับนิยามเศรษฐศาสตร์สุขภาพตั้งแต่ต้น ไม่ใช่แค่ "ประหยัด"	สรุป2026-08-21-unit1-economics-financing-deep
[หน้า 4] นิยามเศรษฐศาสตร์ศึกษา 3 ขั้น	(1) ศึกษาวิธีจัดการทรัพยากรจำกัดกับความต้องการไม่จำกัด (2) ผู้กำหนดนโยบายต้องการทราบทางเลือก (choices) (3) เศรษฐศาสตร์ศึกษามุ่งศึกษาทางเลือกของประชาชนภายใต้ข้อจำกัดทรัพยากร [สไลด์]	สรุป2026-08-21-unit1-economics-financing-deep
[หน้า 5] สองนิยามอ้างอิง	Health economics (Berger et al 2003) = หลักวิเคราะห์เศรษฐศาสตร์ของสุขภาพ เน้นต้นทุน(ปัจจัยนำเข้า)+ผลลัพธ์ ผสมทฤษฎีเศรษฐศาสตร์+การแพทย์ / Economic evaluation (Drummond et al 2005) = วิเคราะห์เปรียบเทียบทางเลือกครอบคลุมทั้งต้นทุนและผลลัพธ์ [สไลด์] — **นี่คือรากฐานสำคัญที่สุดของทั้งวิชา**: ทุกเครื่องมือ (CEA/CUA/CBA/ICER) ล้วนต่อยอดจากนิยามนี้	สรุป2026-08-21-unit1-economics-financing-deep
[หน้า 7] 5 ประเด็นการศึกษาทางเศรษฐศาสตร์สุขภาพ	(1) พฤติกรรมผู้ใช้/ผู้ให้บริการ (2) ต้นทุนสาธารณสุข (3) ระบบการคลังสาธารณสุข (4) ระบบประกันสุขภาพ (5) การประเมินผลทางเศรษฐศาสตร์ [สไลด์] — เป็นกรอบภาพรวมที่ครอบคลุมทั้งสองสไลด์เด็คในวิชานี้ (ชุด health economics = ข้อ 1,2,5 / ชุด health financing = ข้อ 3,4)	สรุป2026-08-21-unit1-economics-financing-deep
[หน้า 8] ความสำคัญของเศรษฐศาสตร์สุขภาพ 4 ข้อ	(1) กำหนดบริการสุขภาพ (2) กำหนดต้นทุนที่แท้จริงของบริการ (3) ประเมินต้นทุน-ผลประโยชน์ของตัวเลือกนโยบาย (4) ประมาณผลกระทบของตัวแปรเศรษฐกิจต่อการใช้บริการสุขภาพ (Chaudhary AS, 2018) [สไลด์]	สรุป2026-08-21-unit1-economics-financing-deep
[หน้า 9] เศรษฐศาสตร์มหภาค	วิเคราะห์ภาพรวม ครอบคลุมการบริโภค/การว่างงาน/เงินเฟ้อ/การเติบโตทางเศรษฐกิจ เน้น big picture ไม่สนใจรายละเอียด [สไลด์]	สรุป2026-08-21-unit1-economics-financing-deep
[หน้า 10] เศรษฐศาสตร์จุลภาค	ศึกษาการบริโภค-ผลิต-กระจายในระดับบุคคล/องค์กร ประเมินพฤติกรรม agent-market-outcomes มุ่งแต่ละส่วนมากกว่าภาพรวม [สไลด์]	สรุป2026-08-21-unit1-economics-financing-deep
[หน้า 11] แผนภาพ Health and economics	ทรัพยากรจำกัด + ความต้องการไม่สิ้นสุด → scarcity ของระบบสุขภาพ → economic study → เลือกบริการที่คุ้มค่า มีประสิทธิภาพ เป็นธรรม สาเหตุความขาดแคลน 4 อย่าง: health care dilemma, demographic changes, increasing expectations, technological advancement [สไลด์]	สรุป2026-08-21-unit1-economics-financing-deep
[หน้า 12] Infographic ความเท่าเทียม (Equality) vs ความเป็นธรรม (Equity) vs สภาพปัจจุบัน	Equality=ให้ทุกคนเท่ากันแต่ผลลัพธ์ไม่เท่ากัน / Equity=จัดสรรตามความจำเป็นให้โอกาสเท่าเทียม / ปัจจุบัน=โอกาสไม่เท่ากันตั้งแต่ต้น สรุป "ความเป็นธรรมไม่ได้แปลว่าให้เหมือนกัน แต่คือทำให้ทุกคนมีโอกาสไปถึงจุดหมายได้เท่ากัน" [สไลด์]	สรุป2026-08-21-unit1-economics-financing-deep
