วงจรปิดท้าย [สไลด์]	สร้าง Awareness → เรียนรู้ว่าเกิดเหตุอย่างไร (ได้สาเหตุ) / เรียนรู้ว่าเกิดขึ้นในขั้นตอนใด → ปรับแผนควบคุมความเสียหาย → เรียนรู้ว่าจัดการหลังเกิดเหตุได้ดีหรือไม่ → วนกลับไปที่เหตุไม่พึงประสงค์	สรุป2026-08-28-risk-management-summary
รูปแบบการจัดการความเสี่ยง	2 แบบ: เชิงรุก, เชิงรับ	สรุป2026-08-28-risk-management-summary
เครื่องมือเชิงรุก	Risk Assessment/Risk Register, FMEA	สรุป2026-08-28-risk-management-summary
เครื่องมือเชิงรับ	RCA	สรุป2026-08-28-risk-management-summary
Risk Assessment/Risk Register กับ FMEA ต่างก็เป็นเชิงรุก แต่วิธีเริ่มต้นต่างกัน	อันแรกเริ่มจาก "ค้นหาปัจจัยอันตราย" อันหลังเริ่มจาก "คลี่กระบวนการทำงานทีละขั้นตอน"	สรุป2026-08-28-risk-management-summary
หัวข้อเปิด	**"เข้าใจเรื่องความเสี่ยง อย่างไร"** [สไลด์]	สรุป2026-08-28-risk-management-summary
หลักคิด	"เราไม่ได้เริ่มจาก 0... เชื่อว่าทุกคนมีความรู้และประสบการณ์ มาทบทวนกัน..." [สไลด์]	สรุป2026-08-28-risk-management-summary
คำศัพท์อังกฤษกำกับในผัง	Threat, Hazardous Event, Consequence, Control Measures, Recovery Measures, Loss of Control, Leading KRI, Lagging KRI, Potential Measures, Potential Outcome [สไลด์]	สรุป2026-08-28-risk-management-summary
Threat (สิ่งคุกคาม)	ฝั่งซ้ายสุด	สรุป2026-08-28-risk-management-summary
Hazardous Event (เหตุการณ์)	จุดศูนย์กลาง (ปมโบว์)	สรุป2026-08-28-risk-management-summary
Consequence (ความสูญเสีย)	ฝั่งขวาสุด	สรุป2026-08-28-risk-management-summary
Control Measures	ฝั่งซ้าย (ก่อนเหตุการณ์)	สรุป2026-08-28-risk-management-summary
Recovery Measures	ฝั่งขวา (หลังเหตุการณ์)	สรุป2026-08-28-risk-management-summary
Leading KRI / Lagging KRI	เตือนก่อนเหตุ / เตือนหลังเหตุ ตามลำดับ	สรุป2026-08-28-risk-management-summary
ใบงานที่เกี่ยวข้อง	ใบงานที่ 4	สรุป2026-08-28-risk-management-summary
โครง KRI ของกระบวนการทำงาน [สไลด์]	วัตถุประสงค์ของการดำเนินการ → ตัวชี้วัดที่บอกผลสำเร็จ (มีเป้า) → กระบวนการทำงาน (มาตรฐาน คู่มือ แนวทางปฏิบัติ) + กำหนดจุดและกิจกรรมควบคุม (**Internal Control**) → Start → Objective, KPI, Target	สรุป2026-08-28-risk-management-summary
**ปัจจัยภายนอก**	การเปลี่ยนแปลง (Change) เป็นสิ่งคุกคามจากภายนอก [สไลด์]	สรุป2026-08-28-risk-management-summary
กรอบตรวจสอบปัจจัยภายใน 4 มิติ (**People, Process, Technology, Environment**)	"การตรวจสอบ ค้นหา ปัจจัยที่เป็นอันตราย คุกคาม รบกวนการทำงาน ระบบงาน หรือพื้นที่ปฏิบัติงาน" [สไลด์]	สรุป2026-08-28-risk-management-summary
People — คุณสมบัติของบุคลากร 7 ข้อ [สไลด์]	1.คุณสมบัติ 2.คุณวุฒิ 3.รู้พันธกิจ 4.รู้หน้าที่ 5.รู้กระบวนการ 6.รู้วิธีทำงาน 7.รู้นโยบาย	สรุป2026-08-28-risk-management-summary
ปัจจัยภายใน (บุคลากร/งบ/สิ่งแวดล้อม/เครื่องมือ/ข้อมูล)	5 ข้อ	สรุป2026-08-28-risk-management-summary
คุณสมบัติบุคลากร (People)	7 ข้อ	สรุป2026-08-28-risk-management-summary
รายการปัจจัยเสี่ยงเชิงระบบทั้งหมด	20 ข้อ (รวม 7 ข้อ People)	สรุป2026-08-28-risk-management-summary
กรอบตรวจสอบ 4 มิติ	People, Process, Technology, Environment	สรุป2026-08-28-risk-management-summary
แยกให้ออกระหว่าง "ปัจจัยภายนอก" (เช่น Change) กับ "ปัจจัยภายใน" (5 ด้าน	บุคลากร งบประมาณ สภาพแวดล้อม เครื่องมือ ข้อมูล) — เวลาโจทย์ถามหาปัจจัยเสี่ยงต้องระบุว่าเป็นภายในหรือภายนอก	สรุป2026-08-28-risk-management-summary
"ทำได้อย่างไร — มี 2 แบบ	เชิงรุก & เชิงรับ" [สไลด์]	สรุป2026-08-28-risk-management-summary
ตัวเลข/ค่าที่ต้องจำ: 2 รูปแบบ	เชิงรุก / เชิงรับ	สรุป2026-08-28-risk-management-summary
นิยาม	"การตรวจสอบ ค้นหา ปัจจัยที่เป็นอันตราย คุกคาม รบกวนการทำงาน ระบบงาน หรือพื้นที่ปฏิบัติงาน ►► การประเมินความเสี่ยง (Risk Assessment) และหาทางจัดการ ►► การขึ้นทะเบียนเพื่อติดตาม" [สไลด์]	สรุป2026-08-28-risk-management-summary
แหล่งอ้างอิง	https://www.hse.gov.uk/managing/risk-profiling.htm [สไลด์]	สรุป2026-08-28-risk-management-summary
Key actions (Managers)	4 กลุ่ม: ระบุความเสี่ยง / ระบุผู้ได้รับผลกระทบ / ระบุมาตรการควบคุม / รายงานบันทึกตรวจสอบ	สรุป2026-08-28-risk-management-summary
เกณฑ์บังคับทำ Risk assessment	จำนวนเจ้าหน้าที่ ≥ 5 คน	สรุป2026-08-28-risk-management-summary
กลุ่มเสี่ยงเพิ่มขึ้น	อายุน้อย, อายุงานน้อย, ประสบการณ์น้อย, ตั้งครรภ์, พิการ, แรงงานข้ามชาติ, ผู้สูงอายุ	สรุป2026-08-28-risk-management-summary
ข้อผิดพลาดที่พบบ่อย	ทำเอกสาร (paperwork) เยอะเกินจำเป็น — สไลด์เตือนว่าควรมี "เท่าที่จำเป็นเท่านั้น" ส่วนการประเมินความเสี่ยงต้องทำจริงจัง	สรุป2026-08-28-risk-management-summary
การเตรียมความพร้อมก่อนผ่าตัด ครอบคลุม [สไลด์]	พื้นที่ห้องผ่าตัด, เครื่องมือ อุปกรณ์ น้ำยา, กระแสไฟฟ้า น้ำไหล ไฟสว่าง, ยา สารน้ำ เลือด, อวัยวะ/อุปกรณ์ที่ใช้กับผู้ป่วย	สรุป2026-08-28-risk-management-summary
เส้นทางผู้ป่วย	**OPD → WARD → WR (ห้องเตรียมผ่าตัด) → OR → RR (ห้องพักฟื้น) → ICU/ward/D-C** [สไลด์]	สรุป2026-08-28-risk-management-summary
งานที่ WARD ก่อนส่งผ่าตัด — การเตรียมความพร้อมให้ถูก 4 ด้าน [สไลด์]	คน, หัตถการ, ตำแหน่ง, วัน-เวลา	สรุป2026-08-28-risk-management-summary
งานฝั่งการดูแลผู้ป่วยตลอดเส้นทาง (คู่ขนานกับ WR-OR-RR) [สไลด์]	การประเมิน, การวินิจฉัย, การให้ข้อมูล, การยินยอม, การ Set ผ่าตัด	สรุป2026-08-28-risk-management-summary
งานที่ WR	การเตรียมความพร้อม (คน/หัตถการ/ตำแหน่ง/วัน-เวลา), การให้ข้อมูล, การประเมิน	สรุป2026-08-28-risk-management-summary
งานที่ OR	การช่วยผ่าตัด, การให้ข้อมูล, การประเมิน, **การเฝ้าระวัง**, การสื่อสารกับทีม	สรุป2026-08-28-risk-management-summary
งานที่ RR	การให้ข้อมูล, การประเมิน, การเฝ้าระวัง, การสื่อสารกับทีม, **การช่วยเหลือที่ทันท่วงที**	สรุป2026-08-28-risk-management-summary
เส้นทางผู้ป่วย	OPD → WARD → WR → OR → RR → ICU/ward/D-C	สรุป2026-08-28-risk-management-summary
เตรียมความพร้อมที่ Ward	คน, หัตถการ, ตำแหน่ง, วัน-เวลา (4 ด้าน)	สรุป2026-08-28-risk-management-summary
งานร่วมทุกจุด	การประเมิน, การเฝ้าระวัง, การสื่อสารกับทีม	สรุป2026-08-28-risk-management-summary
โจทย์	"จากกระบวนการสำคัญในห้องผ่าตัด ขอให้ระบุข้อผิดพลาด หรือเหตุการณ์ไม่พึงประสงค์ที่เราไม่ต้องการให้เกิดขึ้นในห้องผ่าตัด ขอให้เลือกมา 1 เหตุการณ์" [สไลด์]	สรุป2026-08-28-risk-management-summary
