แบ่งเป็น	หน่วยสนับสนุนที่ไม่ก่อให้เกิดรายได้ / หน่วยสนับสนุนที่ก่อให้เกิดรายได้ [หน้า 48]	สรุป2026-08-28-unit1-cost-analysis
ต้นทุนลงทุน	ระยะเวลาที่ใช้ในห้องผ่าตัด (Average Operating Room Time) แบ่งเป็น	สรุป2026-08-28-unit1-cost-analysis
ทีมวิสัญญีแพทย์และพยาบาล, ทีมศัลยแพทย์, พยาบาลห้องผ่าตัด, ผู้ช่วยพยาบาล, บุคลากรอื่นๆ เช่น คนงานและพนักงานเปล	Supply หลัก, เวชภัณฑ์	สรุป2026-08-28-unit1-cost-analysis
วิสัญญีแพทย์และวิสัญญีพยาบาล, พยาบาลห้องพักฟื้น, ผู้ช่วยพยาบาล, บุคลากรอื่นๆ เช่น คนงานและพนักงานเปล	วัสดุทางการแพทย์เพื่อการบำบัดด้วยออกซิเจน, วัสดุทางการแพทย์เพื่อการบริหารยาและสารน้ำทางหลอดเลือดดำ, วัสดุทางการแพทย์เพื่อการดูแลแผลผ่าตัด, ยาและสารน้ำต่างๆ	สรุป2026-08-28-unit1-cost-analysis
สูตร	อัตราเงินเดือนของบุคลากร = จำนวนเงินเดือน + 10% + เงินประจำตำแหน่ง [หน้า 63]	สรุป2026-08-28-unit1-cost-analysis
สูตรเดิม	อัตราเงินเดือนของบุคลากร = จำนวนเงินเดือน + 10% + เงินประจำตำแหน่ง [หน้า 64]	สรุป2026-08-28-unit1-cost-analysis
สูตร	ต้นทุนค่าเสื่อมราคาของครุภัณฑ์ = (ราคาซื้อ − ราคาซาก) ÷ อายุการใช้งาน [หน้า 68]	สรุป2026-08-28-unit1-cost-analysis
สูตรพื้นฐาน	ต้นทุนค่าเสื่อมราคาอาคาร/สิ่งก่อสร้าง = ราคาซื้อเมื่อเริ่มต้น ÷ อายุการใช้งาน	สรุป2026-08-28-unit1-cost-analysis
สูตรเมื่อมีพื้นที่ร่วม	ต้นทุนค่าเสื่อมราคาอาคาร = [ราคาอาคาร × (พื้นที่ใช้สอยเฉพาะ + พื้นที่ใช้สอยร่วม)] ÷ พื้นที่ใช้สอยอาคาร ÷ อายุการใช้งาน [หน้า 70]	สรุป2026-08-28-unit1-cost-analysis
A	ชิ้น	สรุป2026-08-28-unit1-cost-analysis
B	ชิ้น	สรุป2026-08-28-unit1-cost-analysis
C	ชิ้น	สรุป2026-08-28-unit1-cost-analysis
D	ชิ้น	สรุป2026-08-28-unit1-cost-analysis
E	ชิ้น	สรุป2026-08-28-unit1-cost-analysis
**หน่วยบริการ**	งานผู้ป่วยนอก, ห้องทันตกรรม [หน้า 83]	สรุป2026-08-28-unit1-cost-analysis
**หน่วยสนับสนุนที่ก่อให้เกิดรายได้**	ห้องเอกซเรย์, ห้องยา [หน้า 84]	สรุป2026-08-28-unit1-cost-analysis
**หน่วยสนับสนุนที่ไม่ก่อให้เกิดรายได้**	งานเวชระเบียน [หน้า 85]	สรุป2026-08-28-unit1-cost-analysis
**หน่วยบริการ**	ห้องคลอด, หอผู้ป่วย(งานผู้ป่วยใน) [หน้า 87]	สรุป2026-08-28-unit1-cost-analysis
**หน่วยสนับสนุนที่ไม่ก่อให้เกิดรายได้**	งานเวชระเบียน [หน้า 88]	สรุป2026-08-28-unit1-cost-analysis
อาคารถาวร	15-40	สรุป2026-08-28-unit1-cost-analysis
อาคารชั่วคราวหรือโรงเรือน	8-15	สรุป2026-08-28-unit1-cost-analysis
สิ่งก่อสร้าง คอนกรีตเสริมเหล็ก	15-25	สรุป2026-08-28-unit1-cost-analysis
ครุภัณฑ์สำนักงาน	8-12	สรุป2026-08-28-unit1-cost-analysis
ครุภัณฑ์ยานพาหนะและขนส่ง	5-8	สรุป2026-08-28-unit1-cost-analysis
ครุภัณฑ์ไฟฟ้าและวิทยุ	5-10	สรุป2026-08-28-unit1-cost-analysis
ครุภัณฑ์คอมพิวเตอร์	3-5	สรุป2026-08-28-unit1-cost-analysis
เครื่องมือและอุปกรณ์	2-5	สรุป2026-08-28-unit1-cost-analysis
ครุภัณฑ์วิทยาศาสตร์และการแพทย์	5-8	สรุป2026-08-28-unit1-cost-analysis
การจัดเก็บของ sterile	FIFO	สรุป2026-08-28-unit1-cost-analysis
นิยามต้นทุน	Price × Quantity	สรุป2026-08-28-unit1-cost-analysis
ต้นทุนทางตรง (Direct)	LC + MC + CC	สรุป2026-08-28-unit1-cost-analysis
อัตราเงินเดือนบุคลากร	เงินเดือน + 10% + เงินประจำตำแหน่ง	สรุป2026-08-28-unit1-cost-analysis
ค่าเสื่อมราคาครุภัณฑ์	(ราคาซื้อ − ราคาซาก) ÷ อายุการใช้งาน	สรุป2026-08-28-unit1-cost-analysis
ค่าเสื่อมราคาอาคาร (มีพื้นที่ร่วม)	[ราคาอาคาร × (พื้นที่เฉพาะ+พื้นที่ร่วม)] ÷ พื้นที่รวมอาคาร ÷ อายุการใช้งาน	สรุป2026-08-28-unit1-cost-analysis
ต้นทุนการใช้วัสดุต่อครั้ง	[ราคาต่อหน่วย + (ต้นทุนอบฆ่าเชื้อ × จำนวนครั้งอบฆ่าเชื้อ)] ÷ จำนวนครั้งใช้	สรุป2026-08-28-unit1-cost-analysis
ราคาต้นทุนวัสดุสิ้นเปลือง (สุทธิ)	ต้นทุนการใช้ต่อครั้ง + ค่าบริหารจัดการ 10%	สรุป2026-08-28-unit1-cost-analysis
อายุครุภัณฑ์วิทยาศาสตร์/การแพทย์	ตามกรมบัญชีกลาง 2544	สรุป2026-08-28-unit1-cost-analysis
อายุอาคารถาวร	ตามกรมบัญชีกลาง 2544	สรุป2026-08-28-unit1-cost-analysis
อายุครุภัณฑ์คอมพิวเตอร์	ตามกรมบัญชีกลาง 2544	สรุป2026-08-28-unit1-cost-analysis
หลักคิดค่าวัสดุราคาหลายรอบ	First In First Out (FIFO)	สรุป2026-08-28-unit1-cost-analysis
