[classroom] อาจารย์เน้นย้ำในclassroomชัดเจนว่าคำสองคำนี้ "ต้องจำ" — Schwannoma กับ Neurofibroma เป็นคนละอย่างกัน (คำอาจารย์	"อันนี้ NF1 NF2 ... อันนี้ก็ต้องจำนะครับ 2 คำเนี่ยต่างกันนะ Schwannoma กับ neurofibroma") ถือเป็นจุดที่อาจารย์ระบุชัดว่าเป็นเนื้อหาที่ต้องจำ	สรุป2026-09-23-neuro-anatomy-surgery-combined
ปณิธาน ภูมิเมธิน	ผศ.นพ.ปฤณัต อิทธิเมธินทร์ (Parunut Itthimathin)	สรุป2026-09-23-neuro-anatomy-surgery-combined
ไขสหลัง	ไขสันหลัง (spinal cord)	สรุป2026-09-23-neuro-anatomy-surgery-combined
Boni Landmark	Bony landmark	สรุป2026-09-23-neuro-anatomy-surgery-combined
suer / suer Line	suture / suture line	สรุป2026-09-23-neuro-anatomy-surgery-combined
coronal suer / coronal sulcus	coronal suture	สรุป2026-09-23-neuro-anatomy-surgery-combined
Water area	Motor area	สรุป2026-09-23-neuro-anatomy-surgery-combined
thalium	pterion	สรุป2026-09-23-neuro-anatomy-surgery-combined
Cymbian feature / ซีเมนต์ feature / ซิมเบียน	Sylvian fissure	สรุป2026-09-23-neuro-anatomy-surgery-combined
Cingulate Gyrus (คู่กับ Central Sulcus ว่าเป็นร่องหลัก 2 สาย)	Sylvian fissure	สรุป2026-09-23-neuro-anatomy-surgery-combined
rab rab เวร	Labbé vein (vein of Labbé)	สรุป2026-09-23-neuro-anatomy-surgery-combined
บอด Man area	Brodmann area	สรุป2026-09-23-neuro-anatomy-surgery-combined
เบสแกงเกีย	Basal ganglia	สรุป2026-09-23-neuro-anatomy-surgery-combined
กูเนเก้	Wernicke('s area)	สรุป2026-09-23-neuro-anatomy-surgery-combined
คอมพิวชั่น	comprehension	สรุป2026-09-23-neuro-anatomy-surgery-combined
แวนตาล	แว่นตา (eyeglasses)	สรุป2026-09-23-neuro-anatomy-surgery-combined
เรียกว่าลาย	anomia (เรียกชื่อสิ่งของไม่ถูก)	สรุป2026-09-23-neuro-anatomy-surgery-combined
left right disolation	left-right disorientation	สรุป2026-09-23-neuro-anatomy-surgery-combined
Charcot (ในกลุ่มอาการ Gerstmann)	[ฟังไม่ชัด]	สรุป2026-09-23-neuro-anatomy-surgery-combined
atherogenic area	eloquent area	สรุป2026-09-23-neuro-anatomy-surgery-combined
รอกเกอร์	rupture	สรุป2026-09-23-neuro-anatomy-surgery-combined
จำน้ำมูเร	subarachnoid hemorrhage (SAH)	สรุป2026-09-23-neuro-anatomy-surgery-combined
แท็กติก แคปซี่	stereotactic (เครื่องมือ)	สรุป2026-09-23-neuro-anatomy-surgery-combined
Trusion	thalamus (คาดว่า)	สรุป2026-09-23-neuro-anatomy-surgery-combined
Basilar Angle	basal ganglia (คาดว่า)	สรุป2026-09-23-neuro-anatomy-surgery-combined
im / e (บริบท AVM presentation)	hemorrhage / bleeding	สรุป2026-09-23-neuro-anatomy-surgery-combined
Time Full	time-critical presentation (คาดว่า)	สรุป2026-09-23-neuro-anatomy-surgery-combined
graphic list (ลักษณะที่จะแตก)	high-risk morphology/feature (คาดว่า)	สรุป2026-09-23-neuro-anatomy-surgery-combined
positioning ner	positioning nurse	สรุป2026-09-23-neuro-anatomy-surgery-combined
เจียน (ตามเจียนเข้ามา)	surgeon	สรุป2026-09-23-neuro-anatomy-surgery-combined
สีหลัง (บริบท metastasis primary cancer ที่มาสมอง)	มะเร็งปอด (lung cancer) (คาดว่า)	สรุป2026-09-23-neuro-anatomy-surgery-combined
Glomus / Medullary / minochromia / glaucoma (บริบท metastasis primary cancer)	[ฟังไม่ชัด] ชื่อมะเร็งต้นทาง ระบุแน่ชัดไม่ได้	สรุป2026-09-23-neuro-anatomy-surgery-combined
แคโรมา (บริบทเอกซเรย์พิเศษสำหรับ glioma)	[ฟังไม่ชัด] ไม่สามารถตีความได้	สรุป2026-09-23-neuro-anatomy-surgery-combined
