ชื่อเรื่อง	"บทบาท Nurse Coordinator กับการปลูกถ่ายอวัยวะ" [สไลด์]	สรุป2026-09-03-nurse-coordinator-combined
วิทยากร	พว.พีรา ปานพรม ตำแหน่งพยาบาลประสานงาน โรงพยาบาลศิริราช [สไลด์]	สรุป2026-09-03-nurse-coordinator-combined
นิยาม	"การนำเอาอวัยวะที่ไม่สามารถทำงานได้อย่างปกติออกไปแล้วนำเอาอวัยวะปกติจากบุคคลอื่นเข้ามาแทน" [สไลด์]	สรุป2026-09-03-nurse-coordinator-combined
**ไต**	คนเรามีไต 2 ข้าง สามารถบริจาคให้ผู้ป่วยได้ถึง 2 คน (คนละ 1 ข้าง) [classroom]	สรุป2026-09-03-nurse-coordinator-combined
**ตับอ่อน**	ส่วนมากบริจาคให้ผู้ป่วยเบาหวาน แต่ปัจจุบันศิริราชรับเฉพาะผู้ป่วยเบาหวาน **type 1** เท่านั้น (เป็นตั้งแต่อายุน้อย ไม่ได้เป็นจากพฤติกรรมการกินหรือพันธุกรรมแบบ type 2) [classroom]	สรุป2026-09-03-nurse-coordinator-combined
**กระดูก**	เปลี่ยนได้ โดยเฉพาะกระดูกยาวๆ เช่น กระดูกหน้าแข้งและกระดูกต้นขา [classroom]	สรุป2026-09-03-nurse-coordinator-combined
**ผิวหนัง**	บริจาคได้ แต่ผู้บริจาคต้อง **ไม่มีรอยสักใดๆ และไม่มีการติดเชื้อ/รอยโรคที่ผิวหนัง** จึงจะรับ ผิวหนังที่ได้จะนำไปปลูกในส่วนผิวชั้นนอก แช่รักษาในฟอร์มาลีน ใช้เวลาประมาณ 2-3 ปีกว่าจะนำมาใช้ได้ ส่วนมากใช้กับผู้ป่วยแผลไฟไหม้ที่มีพังผืดยึดติด (เช่น มือติดกัน) เพื่อช่วยให้ผิวยืดออก ปัจจุบันผู้บริจาคผิวหนังในไทยมีน้อยมาก ส่วนหนึ่งเพราะคนมีรอยสักมากขึ้น [classroom]	สรุป2026-09-03-nurse-coordinator-combined
**ดวงตา/กระจกตา**	แม้ส่วนที่นำไปใช้จริงคือกระจกตาด้านหน้า แต่ทีมเก็บจะนำ **ลูกตาออกทั้งดวงทั้ง 2 ข้าง** แล้วใส่วัสดุทดแทนคล้ายลูกตาปลอมและเย็บปิดเปลือกตาให้ดูเหมือนหลับตาปกติ [classroom]	สรุป2026-09-03-nurse-coordinator-combined
ไต, ตับ, ไขกระดูก, หัวใจ, ปอด, หัวใจและปอด, ลำไส้, ตับอ่อน	รวม 8 รายการตามที่ระบุในสไลด์ (นับรวมไขกระดูกและหัวใจ-ปอดร่วม)	สรุป2026-09-03-nurse-coordinator-combined
หน่วยงานกลาง	**Organ Donation Center, The Thai Red Cross Society** (ศูนย์รับบริจาคอวัยวะ สภากาชาดไทย) [สไลด์]	สรุป2026-09-03-nurse-coordinator-combined
หน้าที่หลัก 2 อย่าง	**Waiting list registration** (ขึ้นทะเบียนรายชื่อผู้รอรับอวัยวะ) และ **Organ allocation** (จัดสรรอวัยวะ) [สไลด์]	สรุป2026-09-03-nurse-coordinator-combined
เบอร์โทรติดต่อ	**1666** [สไลด์] — ในคาบอาจารย์พูดถึงเบอร์นี้ซ้ำอีกหลายครั้ง ยืนยันตรงกับสไลด์ [classroom]	สรุป2026-09-03-nurse-coordinator-combined
กลุ่มเป้าหมายที่ระบุคู่กัน	"ผู้บริจาคสมองตาย" [สไลด์]	สรุป2026-09-03-nurse-coordinator-combined
เบอร์ศูนย์รับบริจาคอวัยวะ สภากาชาดไทย	**1666**	สรุป2026-09-03-nurse-coordinator-combined
หน้าที่ของศูนย์	Waiting list registration, Organ allocation	สรุป2026-09-03-nurse-coordinator-combined
