Cardiothoracic surgery แบ่งเป็น 2 สาขาหลัก	Cardiac surgery และ Thoracic surgery (สไลด์ 3) [สไลด์]	สรุป2026-09-04-cardiothoracic
Cardiac surgery ครอบคลุม 3 หัวข้อ	ชนิดของโรคหัวใจ, ชนิดของการผ่าตัดหัวใจ, โรคและการผ่าตัดหัวใจ (สไลด์ 4) [สไลด์]	สรุป2026-09-04-cardiothoracic
ชนิดของการผ่าตัดหัวใจ (สไลด์ 6)	แบบเปิด (Open heart surgery) และแบบปิด (Closed heart surgery) [สไลด์]	สรุป2026-09-04-cardiothoracic
Congenital heart disease (สไลด์ 8)	พบได้ร้อยละ 1 เป้าหมายผ่าตัดคือให้ใกล้เคียงคนปกติ ต้องพิจารณา anatomy, physiology, hemodynamic ประกอบการเลือกวิธีผ่าตัด 3 แนวทาง:	สรุป2026-09-04-cardiothoracic
รายชื่อโรค/หัตถการ congenital heart disease (สไลด์ 9)	Patent Ductus Arteriosus, Aortopulmonary Window, Coarctation of the Aorta, Aneurysms of the Sinus of Valsalva, Atrial Septal Defect Secundum, ASD: Repair of Sinus Venosus, Correction of ASD Primum, Partial Atrioventricular Septal Defect, Correction of Anomalous Pulmonary Venous Return, Ventricular Septal Defect, Tetralogy of Fallot, Truncus Arteriosus, Congenital Aortic Stenosis, Interruption of Aortic Arch, Transposition of the Great Arteries, Pulmonary Atresia with Intact Ventricular Septum, Hypoplastic Left Heart Syndrome, Tricuspid Atresia, Ebstein's Anomaly [สไลด์]	สรุป2026-09-04-cardiothoracic
3 กลุ่มโรค (สไลด์ 10)	โรคหลอดเลือดหัวใจ, โรคลิ้นหัวใจ, โรคหลอดเลือดแดงใหญ่	สรุป2026-09-04-cardiothoracic
รายชื่อหัตถการ (สไลด์ 11)	Closure of Wounds of the Heart, Tricuspid Valve Replacement for Tricuspid Stenosis, Tricuspid Valve Repair, Mitral Valve Replacement, Mitral Valve Repair, Aortic Valve Replacement for Aortic Stenosis, Aortic Valve Replacement for Aortic Insufficiency, Closure of Aortic Wounds, Aneurysms of the Ascending Aorta / Transverse Aortic Arch / Descending Aorta	สรุป2026-09-04-cardiothoracic
Cardiac arrhythmias (สไลด์ 12)	Placement of Implantable Cardiac Defibrillator, Surgical Procedures for Cardiac Arrhythmias, The Maze III Procedure สำหรับ Atrial Fibrillation; Myocardial Revascularization: Coronary Artery Bypass Grafts (CABG), Reoperation for CABG, Correction of Anomalous Left Coronary Artery Arising from the Pulmonary Artery	สรุป2026-09-04-cardiothoracic
Coronary heart disease (สไลด์ 13)	เกิดจากหลอดเลือดหัวใจตีบ (atherosclerosis) ทำให้เลือดไปเลี้ยงกล้ามเนื้อหัวใจไม่พอ เป็นสาเหตุของ myocardial ischemia	สรุป2026-09-04-cardiothoracic
4 ภาวะหลัก (สไลด์ 20)	Aortic valve regurgitation, Aortic valve stenosis, Mitral valve regurgitation, Mitral valve stenosis	สรุป2026-09-04-cardiothoracic
Mechanical valve	วัสดุ Polycarbonate ทนทาน แต่เสี่ยง thrombo-embolism ต้องกินยา anticoagulant	สรุป2026-09-04-cardiothoracic
Bioprosthetic valve	1) Xenograft — เนื้อเยื่อสัตว์ (Porcine ลิ้นหัวใจหมู, Bovine pericardium เยื่อหุ้มหัวใจวัว) 2) Homograft — human cadaver donor 3) Autograft — เนื้อเยื่อของผู้ป่วยเอง; ไม่ต้องกินยาตลอดชีวิต เหมาะกับอายุ >65 ปี หรือตั้งครรภ์	สรุป2026-09-04-cardiothoracic
