โมเดลพื้นฐานของ ERAS มองความสัมพันธ์สามส่วน	**Surgery – Patient – Anesthesia** ที่ล้วนส่งผลต่อ **Risk** ของผู้ป่วย [สไลด์]	สรุป2026-09-23-eras-periop
Prehabilitation: มีหัวข้อ "Multi-modal PREHABILITATION for surgical patients" แยกเป็นสไลด์เฉพาะ แต่ตัวเนื้อหารายละเอียดในไฟล์เป็นภาพ/ไดอะแกรมที่ไม่มีข้อความอธิบายเพิ่ม — ข้าม [สไลด์	หน้าภาพ ไม่มีข้อความ]	สรุป2026-09-23-eras-periop
เป้าหมาย	keep core temp > 36°C	สรุป2026-09-23-eras-periop
วิธี	warm mattress, warmed intravenous or irrigation fluids, blankets and wraps for the head	สรุป2026-09-23-eras-periop
Preadmission	HbA1c > 8–8.5% → refer for optimization	สรุป2026-09-23-eras-periop
Inpatient	อาจ postpone elective surgery ถ้า HbA1c > 10%	สรุป2026-09-23-eras-periop
เป้าหมาย	avoid hypo-/hyperglycemia	สรุป2026-09-23-eras-periop
อ้างอิง	British Journal of Anaesthesia, DOI: 10.1016/j.bja.2023.02.039	สรุป2026-09-23-eras-periop
เป้าหมาย	keep BP < 130/80 mmHg	สรุป2026-09-23-eras-periop
อ้างอิง	Writing Committee Members. 2025 AHA/ACC/AANP/AAPA/ABC/ACCP/ACPM/AGS/AMA/ASPC/NMA/PCNA/SGIM guideline for the prevention, detection, evaluation and management of high blood pressure in adults. *Circulation*, 152(11), e114–e218.	สรุป2026-09-23-eras-periop
