ไทยเข้าสู่ "สังคมสูงวัยโดยสมบูรณ์" แล้ว	คนไทยอายุ ≥60 ปี ≥20% [สไลด์]	สรุป2026-09-11-heart-aortic-disease
โรคหัวใจไม่ได้อยู่แค่ห้องผ่าตัดหัวใจ — ตัวอย่างที่พบในหน่วยอื่น	[สไลด์]	สรุป2026-09-11-heart-aortic-disease
Ortho	สะโพกหักในผู้สูงอายุที่กินยาต้านเกล็ดเลือดหลังใส่ stent	สรุป2026-09-11-heart-aortic-disease
General/GI	มะเร็งลำไส้ที่ตรวจพบ AAA 5 cm โดยบังเอิญจาก CT	สรุป2026-09-11-heart-aortic-disease
Eye/ENT	ผ่าตัดต้อกระจกในผู้ป่วยลิ้นหัวใจโลหะที่กิน warfarin	สรุป2026-09-11-heart-aortic-disease
Uro	TURP ในผู้ป่วยกิน NOAC เพราะ AF	สรุป2026-09-11-heart-aortic-disease
ทุกหน่วย	ผู้ป่วยมี pacemaker/ICD กับการใช้จี้ไฟฟ้า, เพิ่งผ่าตัดหัวใจมา 1 เดือน	สรุป2026-09-11-heart-aortic-disease
หัวใจ = ปั๊ม 2 ตัว 4 ห้อง 4 ลิ้น	RA→RV→ปอด→LA→LV→aorta; ลิ้น Tricuspid·Pulmonic·Mitral·Aortic; LV ผนังหนาสุด แรงดันสูงสุด [สไลด์]	สรุป2026-09-11-heart-aortic-disease
RCA	ผนังล่าง, SA/AV node	สรุป2026-09-11-heart-aortic-disease
LAD	ผนังหน้าส่วนใหญ่ของ LV	สรุป2026-09-11-heart-aortic-disease
LCx	ผนังด้านข้าง	สรุป2026-09-11-heart-aortic-disease
ปัจจัยเสี่ยง	อายุ, เพศชาย, สูบบุหรี่, ความดันสูง, เบาหวาน-ไขมันสูง, ไตเสื่อม, ประวัติครอบครัว [สไลด์]	สรุป2026-09-11-heart-aortic-disease
Stable angina	เจ็บออกแรง หายใน 5–10 นาที	สรุป2026-09-11-heart-aortic-disease
ACS: NSTEMI/unstable angina	เจ็บขณะพัก >20 นาที, troponin ขึ้น	สรุป2026-09-11-heart-aortic-disease
STEMI	เส้นเลือดอุดตันสมบูรณ์, ST ยก, ต้อง PCI ทันที	สรุป2026-09-11-heart-aortic-disease
การรักษา 3 ทาง	ยา (aspirin, statin, beta-blocker — ทุกคนต้องได้), PCI+stent (ต้องกิน DAPT 6–12 เดือน), CABG (เหมาะกับ 3 เส้น/left main/เบาหวาน/บีบตัวไม่ดี) [สไลด์]	สรุป2026-09-11-heart-aortic-disease
